"page_id","page_title","page_is_redirect","page_len","wikidata_numeric_id","views"
"2227406","Mark Rylance","1","41300","Q324572","92286"
"4930304","James Wannerton","1","3893","Q17029794","311"
"56872301","Peter Frank (jurist)","0","9584","Q20752549","242"
"6253522","Jeffrey Epstein","1","266137","Q2904131","287375"
"24742584","Sepideh Farsi","0","4225","Q3478858","190"
"56556532","Victoria Swarovski","1","4421","Q2522796","2540"
"35577153","Paul Long","1","3826","Q3898105","218"
"350567","Mitch McConnell","1","186550","Q355522","146067"
"56517913","Kenji Yamada (basketball)","0","2668","Q11470664","61"
"13685767","Sam Levinson","1","16912","Q7407789","34584"
"14142363","Catherine Karlsdotter","1","4370","Q2305403","108"
"24271137","John Oliver (footballer, born 1913)","1","2509","Q6251235","49"
"102690","Adam Sandler","1","50032","Q132952","387060"
"5171665","Phil Collins (artist)","0","8150","Q7181796","816"
"9524458","Frans Timmermans","1","36366","Q32681","5183"
"51451970","Halle Bailey","1","50084","Q65028269","97496"
"51169701","Anne-Marie","1","45924","Q25396976","126550"
"48876758","Patrick Maxwell Stewart","1","1138","Q22020670","57"
"67841366","Henri (footballer, born 2002)","1","2859","Q107211128","47"
"22297557","Thomas C. Bach","1","2897","Q7788114","123"
"43332132","James Murphy (Victorian politician)","0","2250","Q17423584","52"
"6813401","Khalid Abdalla","1","16147","Q981897","14737"
"9195868","Orlando Bloom","1","62039","Q44467","254106"
"49288533","Li Qiangfen","0","887","Q11096408","33"
"38781610","Sajal Aly","1","29591","Q7402602","47543"
"24536700","Joachim II Hector, Elector of Brandenburg","1","12414","Q506527","2408"
"43729722","Qin Gang","0","16361","Q7216297","4255"
"29691023","James Cameron (South African cricketer)","1","2769","Q6130912","34"
"17541051","Jürgen Klopp","1","144341","Q83106","213209"
"39946257","Jimmy Bailey","1","1944","Q16186144","201"
"235324","Jonny Lee Miller","1","29593","Q7516","140031"
"8387327","Simeon Stylites the Younger","1","7817","Q2742399","618"
"13063620","Franz Ehrle","1","10215","Q61283","168"
"556345","Laurent Fignon","1","37882","Q13484","2215"
"24909838","Paul Adams (scientist)","1","5289","Q7149009","123"
"7227755","Don Lemon","1","47212","Q5292992","78740"
"37463146","Maruja Pachón Castro","1","2657","Q6777920","1218"
"37116248","Salman bin Abdulaziz Al Saud (born 1982)","1","9994","Q7405428","1835"
"41349496","Joris van Overeem","0","5009","Q3183928","906"
"100381","Sammo Hung","1","39621","Q311219","31191"
"69358366","Gayle (singer)","1","38711","Q109768702","21258"
"495150","Babyface (musician)","1","30132","Q344983","62706"
"3151392","Dieter Hallervorden","1","12372","Q78006","2827"
"438447","Annette Bening","1","25880","Q190602","87214"
"62632647","Marc Angel","0","8127","Q15951419","273"
"7053864","William Adams (minister)","0","13211","Q8004147","193"
"292276","James Hewitt","1","15967","Q1680558","70331"
"405166","James Cromwell","1","42441","Q299483","73905"
"47744044","Lourdes Santiago Torres Leon Guerrero","0","1306","Q20984490","51"
"34621662","Ethel Furman","1","7204","Q5403119","146"
"31358933","George (Gryaznov)","1","646","Q514576","38"
"261035","Kelly Rowland","1","138057","Q184249","152507"
"33186518","Paul M. Smith (photographer)","1","3150","Q7152129","136"
"46622928","Wes Taylor (politician)","0","1903","Q21062977","100"
"6844407","Selena Gomez","1","272043","Q83287","481022"
"3517130","Khalid Boulami","1","2914","Q722301","130"
"5824757","Martin Burkert","1","6732","Q121770","193"
"69198578","Meadow Walker","1","5082","Q94234781","74608"
"32051679","John Carpenter (archbishop of Dublin)","1","9394","Q16197740","85"
"59786927","Khalid ibn Abdallah ibn Khalid ibn Asid","0","5085","Q61749740","108"
"36027015","Dickie Arbiter","0","4878","Q5273677","2590"
"63401","Stephen Fry","1","151905","Q192912","155591"
"28373217","Eric White (artist)","0","4963","Q5387736","395"
"44477246","Paul Rogers (novelist)","0","4192","Q19666143","69"
"32643197","Kurt Polycarp Joachim Sprengel","1","4699","Q62829","212"
"241715","Vicky Leandros","1","19518","Q160772","4475"
"56305010","John Oliver (Archdeacon of Ardagh)","0","1773","Q47542017","35"
"63075","Chaïm Soutine","1","17295","Q160141","5048"
"1872058","Grant Shapps","1","80874","Q478596","228868"
"9544506","Mary, mother of James","1","3326","Q6778755","1872"
"4287011","Filippo Bonanni","1","15314","Q346870","232"
"7247784","David Arnold (conductor)","0","3618","Q5230858","327"
"15766456","Franz-Ulrich Hartl","1","7657","Q91435","612"
"47356197","Marc Pelosi","1","10089","Q20745164","433"
"30090556","Viktoria Brezhneva","1","5612","Q1106981","3475"
"21476530","Karl Theodor Freiherr von und zu Guttenberg","1","4797","Q97122","320"
"36937263","Gabriella Pescucci","0","13392","Q439536","446"
"2454625","Michael Kors","1","22416","Q717618","31547"
"386255","Peter Phillips","1","27661","Q344908","65474"
"57706144","Danny Ramirez (baseball)","0","6085","Q55609000","92"
"40360131","Keith Griffiths (architect)","1","6991","Q16186256","545"
"11547622","Johnny Carson (American football)","1","2457","Q6266448","184"
"54570683","Gayle Rankin","0","9152","Q33089270","6518"
"15534762","Paul Rogers (footballer)","0","4967","Q7153302","205"
"1594052","Michael Peters (choreographer)","0","6863","Q3308450","3987"
"225488","Gabrielle Carteris","1","19089","Q235575","19600"
"996542","Princess Christina, Mrs. Magnuson","1","11706","Q2268637","5919"
"2106106","Chris Evans (Australian politician)","1","10076","Q466583","484"
"55483831","Libby Connors","0","2971","Q41763445","73"
"53932107","Ryan Hurd","1","16018","Q42224127","18208"
"40106223","Yassine Bounou","1","34073","Q3571952","17839"
"165909","Gladys Knight","1","59789","Q235952","58520"
"728473","Mark Dacascos","1","19870","Q314200","65230"
"5028761","Sasha (Jamaican musician)","1","12123","Q1292790","1056"
"38179119","Lupita Nyong'o","1","116585","Q3840847","159421"
"20519489","Schäfer Heinrich","1","3338","Q111623","115"
"2985351","B. J. Novak","1","40529","Q459925","113159"
"12651146","Lucy Boynton","1","41749","Q9024781","87495"
"8363939","Coco Rocha","1","31985","Q237928","11005"
"159348","Mike Kroeger","0","24","Q1156782","4027"
"699410","Richard Hilton","1","7926","Q948705","77174"
"4691132","David Byrne (footballer, born 1961)","1","10579","Q5231985","275"
"68197151","Mareile Höppner","0","3750","Q1894539","220"
"631620","Horace Panter","1","5016","Q5902039","2413"
"18861556","Tory Burch","1","40635","Q2945547","17496"
"42336466","David K. Stewart","1","1681","Q16013968","81"
"58086067","Carter Reum","1","10845","Q56043532","61833"
"46426209","Kenji Yamada (judoka)","0","4489","Q20816107","180"
"16945761","Tony Bellew","0","68559","Q4083370","33854"
"4074207","David Edwards (footballer, born 1986)","1","39344","Q934766","2826"
"67648315","Mark Strong (politician)","0","2313","Q106993443","163"
"75824","Kevin Smith (New Zealand actor)","1","11003","Q381963","10750"
"62595845","Julia Fox","1","23879","Q79055374","478"
"25537408","Carlos Sainz Jr.","1","86607","Q544856","94755"
"21963520","Kevin Bacon (politician)","1","8782","Q6395763","512"
"444493","Michelle Phillips","1","54566","Q235346","114470"
"333160","Elizabeth McGovern","1","37736","Q233868","65528"
"52552834","Justin Hurwitz","0","12247","Q21012756","9596"
"58606828","Christopher McVey","0","4042","Q56810153","1970"
"25967059","Joachim Gauck","1","62442","Q2538","7009"
"363002","Sandra Oh","1","46372","Q40337","93662"
