"id","en_label","en_description","enwiki_title"
"324572","Mark Rylance","British actor, playwright and theatre director","Mark Rylance"
"17029794","James Wannerton","British sufferer of synesthesia","James Wannerton"
"1611334","Hermann H. Dieter","German biochemist",""
"21572165","Tom Hardy","musher",""
"112157392","Miroslav Němeček","",""
"25813247","Jan Stremmel","",""
"75505824","Jorge García y Setien","Peerage person ID=182595",""
"20752549","Peter Frank","German jurist","Peter Frank (jurist)"
"2904131","Jeffrey Epstein","American sex offender and financier (1953–2019)","Jeffrey Epstein"
"22920717","Joachim Herrmann","German painter",""
"91231403","Kevin Smith","British plaster technician",""
"75267517","Caroline Edith Jackson","(died 1935)",""
"76374557","John Taylor","(1770-1842)",""
"72648428","Ciara O' Sullivan","researcher ORCID ID=0000-0002-0965-4655",""
"3478858","Sepideh Farsi","Iranian film director","Sepideh Farsi"
"2522796","Victoria Swarovski","Austrian singer","Victoria Swarovski"
"37835050","Felipe Prosper","researcher",""
"2857247","Antonio Costa Allem","Brazilian botanist",""
"16065269","Ulrik Vestergaard Knudsen","Danish diplomat",""
"75480134","Emily Anna Maria Blunt","Peerage person ID=167650",""
"1920328","Menderes Bağcı","Turkish-German entertainer",""
"76073919","Peter Andrew Dundas Shepherd","(born 1966)",""
"3898105","Paul Long","basketball player","Paul Long"
"355522","Mitch McConnell","American politician and lawyer (born 1942)","Mitch McConnell"
"11470664","Kenji Yamada","Japanese basketball player","Kenji Yamada (basketball)"
"76330025","Patrick Stewart of Stuikis","Peerage person ID=693216",""
"7407789","Sam Levinson","American actor, screenwriter, and director","Sam Levinson"
"97535255","Michelle Wu","researcher ORCID 0000-0003-2013-1860",""
"99621736","Roger Waters","British-Swedish architect",""
"2305403","Catherine of Bjurum","Queen consort of Sweden from 1448 to 1450 and later the Queen consort of Norway from 1449 to 1450. She was the second wife of Charles VIII of Sweden, I of Norway.","Catherine Karlsdotter"
"6251235","John Oliver","English footballer, born 1915","John Oliver (footballer, born 1913)"
"132952","Adam Sandler","American actor and comedian","Adam Sandler"
"7181796","Phil Collins","English visual artist; b. 1970","Phil Collins (artist)"
"96197673","Rebecca Miller-Kuhlmann","academic",""
"96207619","Clint Eastwood Sr.","",""
"32681","Frans Timmermans","Dutch politician and diplomat","Frans Timmermans"
"115655391","James Hewitt","Head of Science and Innovation - Hintsa Performance",""
"65028269","Halle Bailey","American singer and actress","Halle Bailey"
"25396976","Anne-Marie","English singer","Anne-Marie"
"42479381","John Carney","American photographer (born 1941)",""
"40930748","Gabriella Sozzi","researcher",""
"1625673","Johannes Vögelin","",""
"22020670","Patrick Maxwell Stewart","British Member of Parliament (1795-1846)","Patrick Maxwell Stewart"
"75534463","James Cameron","(1736-1759)",""
"75797944","David Bradley","(born 1960)",""
"112219990","Daniel Friend","American science fiction and fantasy author",""
"107211128","Henri","footballer, born 2002","Henri (footballer, born 2002)"
"7788114","Thomas C. Bach","American politician","Thomas C. Bach"
"17423584","James Murphy","American brewer and politician in colonial Victoria","James Murphy (Victorian politician)"
"981897","Khalid Abdalla","Scottish actor","Khalid Abdalla"
"1429656","Florian Fischer","German actor",""
"108827714","Pedro Sánchez Mora","",""
"44467","Orlando Bloom","English actor","Orlando Bloom"
"110623053","Anne Haughton","",""
"78071755","Alois Florian Stadler","swiss politician (1823-1879)",""
"57337536","Loredana Riccobono","researcher",""
"11096408","Li Qiangfen","Chinese diplomat","Li Qiangfen"
"105576287","Jonathan Ross","Revolutionary War patriot",""
"7402602","Sajal Aly","Pakistani actress and model","Sajal Aly"
"62572862","Mick Bolton","British guitarist",""
"89425674","Michelle S Williams","researcher",""
"506527","Joachim II Hector, Elector of Brandenburg","Elector of Brandenburg (1535-1571)","Joachim II Hector, Elector of Brandenburg"
"47118161","M. Grimes","botanist",""
"66581888","Philippos Patsalis","Cypriot politician and geneticist",""
"22109049","James B. Murphy","herpetologist",""
"7216297","Qin Gang","Chinese diplomat and politician","Qin Gang"
"6130912","James Cameron","South African cricketer","James Cameron (South African cricketer)"
"75707128","John Oliver","Peerage person ID=296160",""
"83106","Jürgen Klopp","German association football player and manager","Jürgen Klopp"
"62561954","Paul Smith","video game programmer",""
"50144501","Paul Smith","Paraguayan zoologist",""
"75706453","Peter Franklyn Minchin","(born 1920)",""
"16186144","Jimmy James Bailey","Honduran footballer","Jimmy Bailey"
"75702418","Martha Louise Allen","Peerage person ID=294245",""
"7516","Jonny Lee Miller","English actor (born 1972)","Jonny Lee Miller"
"71210484","Reamonn Joshee","actor",""
"105718617","Lourdes De Leon","Mexican association football player",""
"110410457","Philippe","",""
"99519786","Theresia Fischer","",""
"2742399","Simeon Stylites the Younger","Christian Saint","Simeon Stylites the Younger"
"115861797","Ludwig Maurer","Austrian biologist (1946-)",""
"61283","Franz Ehrle","Catholic cardinal (1845-1934)","Franz Ehrle"
"109326998","Pedro Sánchez Marfil","ETA terrorism victim",""
"13484","Laurent Fignon","French professional road bicycle racer","Laurent Fignon"
"88426540","Michelle M Williams","researcher",""
"90012517","Barbara Meier-Schiesser","researcher",""
"61299327","Emma Roberts","Australian cyclist",""
"79461748","Michael Cohen","American designer",""
"7149009","Paul Adams","neurobiologist","Paul Adams (scientist)"
"63159749","Ernest Frederick Stephen Lang","Ernest Frederick Stephen Lang (1867-1940) 1941 Obituary &amp;#91;1&amp;#93; ERNEST FREDERICK STEPHEN LANG had a long and distinguished career in the service o...",""
"5292992","Don Lemon","American journalist and news anchor","Don Lemon"
"112901415","Ximena Garzón Villalba","Ecuadorian doctor and Health Minister in the Government of Guillermo Lasso (2021-22)",""
"6777920","Pablo escobar","Kidnap victim and Minister for Education","Maruja Pachón Castro"
"108491577","Mark Foster","artist",""
